#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=11173 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:18.62 aq:16.36 tex:1819327 mv:281630 misc:6171 imb:8160 pmb:0 smb:0 d:- ref:;
in:3 out:1 type:P dur:2 cpbdur:2 q:19.43 aq:16.46 tex:1406771 mv:70596 misc:649 imb:6404 pmb:1756 smb:0 d:- ref:0 ;
in:1 out:2 type:B dur:2 cpbdur:2 q:19.43 aq:17.64 tex:1002330 mv:112466 misc:1444 imb:2701 pmb:5299 smb:160 d:- ref:0 ;
in:2 out:3 type:b dur:2 cpbdur:2 q:19.43 aq:17.90 tex:736012 mv:113534 misc:1782 imb:1577 pmb:6362 smb:221 d:- ref:0 ;
in:6 out:4 type:P dur:2 cpbdur:2 q:20.01 aq:17.05 tex:1217899 mv:82437 misc:640 imb:5099 pmb:3059 smb:2 d:- ref:0 ;
in:4 out:5 type:B dur:2 cpbdur:2 q:19.62 aq:17.49 tex:790999 mv:113543 misc:1642 imb:1661 pmb:6323 smb:176 d:- ref:0 ;
in:5 out:6 type:b dur:2 cpbdur:2 q:19.82 aq:18.31 tex:667947 mv:104709 misc:2536 imb:1842 pmb:5889 smb:429 d:- ref:0 ;
in:8 out:7 type:P dur:2 cpbdur:2 q:20.45 aq:17.39 tex:1254711 mv:84017 misc:776 imb:3651 pmb:4491 smb:18 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:20.23 aq:18.80 tex:556040 mv:101849 misc:2999 imb:1329 pmb:6329 smb:502 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:20.83 aq:17.85 tex:1317673 mv:84228 misc:691 imb:3670 pmb:4490 smb:0 d:- ref:0 w:0,1,2,6,64,0,61,6 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:20.64 aq:18.39 tex:1046537 mv:120116 misc:883 imb:1946 pmb:6182 smb:32 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:20.54 aq:20.12 tex:973198 mv:89266 misc:2424 imb:1204 pmb:6596 smb:360 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:20.73 aq:19.48 tex:611885 mv:94968 misc:2979 imb:1977 pmb:5619 smb:564 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:28.83 aq:25.97 tex:427482 mv:73036 misc:1426 imb:4163 pmb:3856 smb:141 d:- ref:0 w:7,127,2,6,64,0,59,9 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:24.83 aq:22.36 tex:518860 mv:107738 misc:2538 imb:2201 pmb:5532 smb:427 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:22.83 aq:22.16 tex:506256 mv:75454 misc:4450 imb:1189 pmb:5762 smb:1209 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:26.83 aq:26.39 tex:433030 mv:62144 misc:5594 imb:1171 pmb:4809 smb:2180 d:- ref:0 ;
in:19 out:17 type:P dur:2 cpbdur:2 q:31.84 aq:28.83 tex:280829 mv:66170 misc:2705 imb:3838 pmb:3806 smb:516 d:- ref:0 ;
in:17 out:18 type:B dur:2 cpbdur:2 q:29.83 aq:28.01 tex:125290 mv:57035 misc:7163 imb:1178 pmb:3712 smb:3270 d:- ref:0 ;
in:18 out:19 type:b dur:2 cpbdur:2 q:30.84 aq:30.04 tex:240122 mv:55723 misc:5267 imb:2387 pmb:2978 smb:2795 d:- ref:0 ;
in:23 out:20 type:P dur:2 cpbdur:2 q:31.53 aq:28.03 tex:297732 mv:67041 misc:2131 imb:4617 pmb:3160 smb:383 d:- ref:0 ;
in:21 out:21 type:B dur:2 cpbdur:2 q:31.69 aq:29.79 tex:148128 mv:62526 misc:6442 imb:1782 pmb:3529 smb:2849 d:- ref:0 ;
in:20 out:22 type:b dur:2 cpbdur:2 q:31.76 aq:30.94 tex:73464 mv:41976 misc:7008 imb:651 pmb:3468 smb:4041 d:- ref:0 ;
in:22 out:23 type:b dur:2 cpbdur:2 q:31.61 aq:29.97 tex:82240 mv:43845 misc:6803 imb:1045 pmb:2872 smb:4243 d:- ref:0 ;
in:27 out:24 type:P dur:2 cpbdur:2 q:32.16 aq:28.59 tex:294584 mv:62774 misc:3354 imb:3591 pmb:3550 smb:1019 d:- ref:0 ;
in:25 out:25 type:B dur:2 cpbdur:2 q:31.85 aq:29.73 tex:199016 mv:59525 misc:5947 imb:1394 pmb:4081 smb:2685 d:- ref:0 ;
in:24 out:26 type:b dur:2 cpbdur:2 q:31.69 aq:31.98 tex:234853 mv:40826 misc:5385 imb:1139 pmb:3518 smb:3503 d:- ref:0 ;
in:26 out:27 type:b dur:2 cpbdur:2 q:32.00 aq:31.91 tex:138793 mv:40531 misc:5756 imb:1061 pmb:3098 smb:4001 d:- ref:0 ;
in:31 out:28 type:P dur:2 cpbdur:2 q:32.34 aq:30.22 tex:378964 mv:59242 misc:3002 imb:2947 pmb:4559 smb:654 d:- ref:0 ;
in:29 out:29 type:B dur:2 cpbdur:2 q:32.25 aq:30.84 tex:113755 mv:44283 misc:6730 imb:1136 pmb:3122 smb:3902 d:- ref:0 ;
in:28 out:30 type:b dur:2 cpbdur:2 q:32.20 aq:31.32 tex:52266 mv:29425 misc:6797 imb:428 pmb:2605 smb:5127 d:- ref:0 ;
in:30 out:31 type:b dur:2 cpbdur:2 q:32.29 aq:32.56 tex:84543 mv:20608 misc:6881 imb:211 pmb:3143 smb:4806 d:- ref:0 ;
in:35 out:32 type:P dur:2 cpbdur:2 q:32.21 aq:29.00 tex:304259 mv:56168 misc:2797 imb:5074 pmb:2395 smb:691 d:- ref:0 ;
in:33 out:33 type:B dur:2 cpbdur:2 q:32.27 aq:30.08 tex:136800 mv:48925 misc:6227 imb:1652 pmb:3035 smb:3473 d:- ref:0 ;
in:32 out:34 type:b dur:2 cpbdur:2 q:32.30 aq:32.30 tex:49248 mv:24705 misc:6743 imb:282 pmb:2647 smb:5231 d:- ref:0 ;
in:34 out:35 type:b dur:2 cpbdur:2 q:32.24 aq:31.31 tex:144978 mv:43661 misc:6169 imb:1572 pmb:2968 smb:3620 d:- ref:0 ;
in:39 out:36 type:P dur:2 cpbdur:2 q:31.52 aq:28.52 tex:315969 mv:62548 misc:3483 imb:3700 pmb:3473 smb:987 d:- ref:0 ;
in:37 out:37 type:B dur:2 cpbdur:2 q:31.86 aq:29.55 tex:95509 mv:48550 misc:7029 imb:918 pmb:3701 smb:3541 d:- ref:0 ;
in:36 out:38 type:b dur:2 cpbdur:2 q:32.04 aq:30.82 tex:56173 mv:30658 misc:6337 imb:344 pmb:2795 smb:5021 d:- ref:0 ;
in:38 out:39 type:b dur:2 cpbdur:2 q:31.69 aq:30.95 tex:38054 mv:21313 misc:6585 imb:227 pmb:2365 smb:5568 d:- ref:0 ;
in:40 out:40 type:P dur:2 cpbdur:2 q:31.45 aq:28.29 tex:105097 mv:34525 misc:7002 imb:1188 pmb:3364 smb:3608 d:- ref:0 ;
in:43 out:41 type:P dur:2 cpbdur:2 q:31.24 aq:27.61 tex:256386 mv:66133 misc:3425 imb:3593 pmb:3661 smb:906 d:- ref:0 w:0,1,1 ;
in:41 out:42 type:B dur:2 cpbdur:2 q:31.38 aq:29.19 tex:69049 mv:44067 misc:7356 imb:789 pmb:3342 smb:4029 d:- ref:0 ;
in:42 out:43 type:b dur:2 cpbdur:2 q:31.31 aq:30.32 tex:66206 mv:30375 misc:6843 imb:350 pmb:3032 smb:4778 d:- ref:0 ;
in:46 out:44 type:P dur:2 cpbdur:2 q:30.79 aq:26.89 tex:262682 mv:64630 misc:3576 imb:2909 pmb:4248 smb:1003 d:- ref:0 ;
in:44 out:45 type:B dur:2 cpbdur:2 q:31.09 aq:29.16 tex:42403 mv:26181 misc:6976 imb:339 pmb:2604 smb:5217 d:- ref:0 ;
in:45 out:46 type:b dur:2 cpbdur:2 q:30.94 aq:29.67 tex:42889 mv:24972 misc:6107 imb:469 pmb:2155 smb:5536 d:- ref:0 ;
in:50 out:47 type:P dur:2 cpbdur:2 q:30.37 aq:26.45 tex:311525 mv:60849 misc:4178 imb:2086 pmb:4990 smb:1084 d:- ref:0 ;
in:48 out:48 type:B dur:2 cpbdur:2 q:30.58 aq:28.38 tex:142937 mv:42455 misc:6880 imb:563 pmb:4298 smb:3299 d:- ref:0 ;
in:47 out:49 type:b dur:2 cpbdur:2 q:30.69 aq:30.25 tex:46676 mv:20529 misc:6427 imb:197 pmb:2617 smb:5346 d:- ref:0 ;
in:49 out:50 type:b dur:2 cpbdur:2 q:30.48 aq:29.72 tex:26991 mv:19120 misc:6281 imb:109 pmb:2158 smb:5893 d:- ref:0 ;
in:54 out:51 type:P dur:2 cpbdur:2 q:29.82 aq:26.37 tex:611206 mv:67539 misc:2327 imb:2939 pmb:4813 smb:408 d:- ref:0 ;
in:52 out:52 type:B dur:2 cpbdur:2 q:30.10 aq:28.04 tex:110572 mv:41578 misc:6994 imb:783 pmb:3723 smb:3654 d:- ref:0 ;
in:51 out:53 type:b dur:2 cpbdur:2 q:30.24 aq:29.32 tex:63891 mv:28652 misc:6401 imb:604 pmb:2592 smb:4964 d:- ref:0 ;
in:53 out:54 type:b dur:2 cpbdur:2 q:29.96 aq:30.06 tex:95446 mv:31759 misc:7011 imb:625 pmb:3068 smb:4467 d:- ref:0 ;
in:58 out:55 type:P dur:2 cpbdur:2 q:29.38 aq:25.90 tex:383455 mv:55881 misc:3472 imb:2539 pmb:4631 smb:990 d:- ref:0 ;
in:56 out:56 type:B dur:2 cpbdur:2 q:29.60 aq:28.55 tex:272637 mv:47008 misc:5995 imb:904 pmb:4611 smb:2645 d:- ref:0 ;
in:55 out:57 type:b dur:2 cpbdur:2 q:29.71 aq:30.12 tex:145041 mv:27872 misc:6423 imb:912 pmb:2976 smb:4272 d:- ref:0 ;
in:57 out:58 type:b dur:2 cpbdur:2 q:29.49 aq:29.62 tex:113143 mv:32176 misc:6345 imb:339 pmb:3458 smb:4363 d:- ref:0 ;
in:62 out:59 type:P dur:2 cpbdur:2 q:28.94 aq:26.09 tex:559307 mv:65867 misc:1722 imb:2880 pmb:5061 smb:219 d:- ref:0 ;
in:60 out:60 type:B dur:2 cpbdur:2 q:29.16 aq:27.56 tex:198057 mv:44402 misc:6549 imb:579 pmb:4858 smb:2723 d:- ref:0 ;
in:59 out:61 type:b dur:2 cpbdur:2 q:29.27 aq:28.77 tex:116731 mv:32078 misc:6959 imb:546 pmb:3462 smb:4152 d:- ref:0 ;
in:61 out:62 type:b dur:2 cpbdur:2 q:29.05 aq:28.76 tex:109413 mv:27026 misc:6657 imb:358 pmb:3060 smb:4742 d:- ref:0 ;
in:66 out:63 type:P dur:2 cpbdur:2 q:28.65 aq:24.95 tex:502019 mv:66258 misc:2155 imb:4960 pmb:2717 smb:483 d:- ref:0 ;
in:64 out:64 type:B dur:2 cpbdur:2 q:28.80 aq:26.67 tex:244507 mv:65045 misc:5728 imb:995 pmb:5065 smb:2100 d:- ref:0 ;
in:63 out:65 type:b dur:2 cpbdur:2 q:28.87 aq:29.35 tex:159017 mv:29120 misc:6127 imb:194 pmb:4049 smb:3917 d:- ref:0 ;
in:65 out:66 type:b dur:2 cpbdur:2 q:28.73 aq:28.29 tex:108510 mv:41457 misc:7233 imb:282 pmb:4114 smb:3764 d:- ref:0 ;
in:70 out:67 type:P dur:2 cpbdur:2 q:28.28 aq:24.78 tex:697956 mv:76767 misc:1501 imb:3136 pmb:4824 smb:200 d:- ref:0 ;
in:68 out:68 type:B dur:2 cpbdur:2 q:28.47 aq:26.54 tex:297636 mv:76628 misc:5584 imb:1793 pmb:4517 smb:1850 d:- ref:0 ;
in:67 out:69 type:b dur:2 cpbdur:2 q:28.56 aq:27.14 tex:69073 mv:35838 misc:7553 imb:412 pmb:3528 smb:4220 d:- ref:0 ;
in:69 out:70 type:b dur:2 cpbdur:2 q:28.37 aq:27.92 tex:133563 mv:39602 misc:6499 imb:284 pmb:4115 smb:3761 d:- ref:0 ;
in:74 out:71 type:P dur:2 cpbdur:2 q:28.34 aq:25.03 tex:455954 mv:67224 misc:3118 imb:2882 pmb:4600 smb:678 d:- ref:0 ;
in:72 out:72 type:B dur:2 cpbdur:2 q:28.31 aq:26.28 tex:417612 mv:59472 misc:5572 imb:746 pmb:5410 smb:2004 d:- ref:0 ;
in:71 out:73 type:b dur:2 cpbdur:2 q:28.29 aq:28.58 tex:196320 mv:34141 misc:6443 imb:195 pmb:4110 smb:3855 d:- ref:0 ;
in:73 out:74 type:b dur:2 cpbdur:2 q:28.32 aq:28.27 tex:146424 mv:36087 misc:6689 imb:318 pmb:4076 smb:3766 d:- ref:0 ;
in:78 out:75 type:P dur:2 cpbdur:2 q:28.21 aq:25.38 tex:361275 mv:72511 misc:2742 imb:3506 pmb:4064 smb:590 d:- ref:0 ;
in:76 out:76 type:B dur:2 cpbdur:2 q:28.27 aq:25.70 tex:193161 mv:68497 misc:6294 imb:940 pmb:4950 smb:2270 d:- ref:0 ;
in:75 out:77 type:b dur:2 cpbdur:2 q:28.30 aq:27.00 tex:72301 mv:37265 misc:6890 imb:358 pmb:3250 smb:4552 d:- ref:0 ;
in:77 out:78 type:b dur:2 cpbdur:2 q:28.24 aq:27.13 tex:115028 mv:50066 misc:7234 imb:463 pmb:4354 smb:3343 d:- ref:0 ;
